employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
72934,Operations,region_27,Bachelors,f,other,2,28,3.0,3,1,0,60
22635,Sales & Marketing,region_3,Bachelors,m,other,1,27,1.0,2,0,0,53
49568,Sales & Marketing,region_8,Bachelors,m,sourcing,1,27,5.0,2,1,0,53
47552,Analytics,region_7,Masters & above,m,sourcing,1,34,3.0,3,1,0,80
45429,Operations,region_19,Bachelors,m,sourcing,1,28,5.0,6,1,0,61
26913,Sales & Marketing,region_17,Masters & above,m,other,2,35,1.0,7,0,0,45
70658,Operations,region_15,Masters & above,m,sourcing,2,38,4.0,5,0,0,59
60587,Sales & Marketing,region_19,Bachelors,m,other,1,31,3.0,7,1,0,52
64861,Legal,region_5,Bachelors,m,other,1,28,5.0,2,0,0,58
58839,HR,region_22,Masters & above,m,other,1,31,2.0,4,0,0,49
36101,Sales & Marketing,region_31,Bachelors,m,sourcing,1,30,5.0,3,0,0,48
9068,Sales & Marketing,region_22,Bachelors,m,other,1,42,4.0,11,0,0,52
74872,Technology,region_2,Bachelors,m,sourcing,1,36,4.0,3,1,0,80
59640,Operations,region_15,Bachelors,f,sourcing,1,37,4.0,10,0,0,59
14323,Sales & Marketing,region_16,Bachelors,m,sourcing,1,29,3.0,6,0,0,54
8332,Sales & Marketing,region_22,Bachelors,m,sourcing,1,37,4.0,10,0,0,52
8055,Sales & Marketing,region_15,Masters & above,m,sourcing,1,31,5.0,3,1,0,48
6493,Operations,region_2,Masters & above,f,other,1,48,3.0,13,0,0,62
20983,Sales & Marketing,region_2,Bachelors,m,other,1,28,3.0,2,0,0,46
32884,Sales & Marketing,region_2,Masters & above,m,other,2,36,4.0,9,1,0,47
36575,Analytics,region_2,,m,other,1,26,3.0,2,0,0,80
22316,Sales & Marketing,region_2,Masters & above,m,sourcing,2,34,4.0,9,1,0,51
78279,Operations,region_31,Masters & above,m,sourcing,1,37,5.0,7,1,0,57
47570,Analytics,region_22,Bachelors,m,other,1,26,,1,0,0,83
32582,Analytics,region_11,Bachelors,m,sourcing,1,38,5.0,4,1,0,87
60436,Operations,region_22,Bachelors,f,sourcing,1,28,1.0,5,0,0,72
23323,Sales & Marketing,region_24,Masters & above,m,other,1,31,3.0,4,1,0,52
18724,Sales & Marketing,region_22,Bachelors,m,sourcing,1,22,,1,0,0,54
67183,Finance,region_2,Bachelors,f,sourcing,1,43,3.0,14,0,0,60
55271,Finance,region_15,Bachelors,m,sourcing,1,27,,1,0,0,57
17265,Sales & Marketing,region_26,Bachelors,m,other,1,39,3.0,3,0,0,49
58296,Procurement,region_22,Bachelors,m,sourcing,3,29,5.0,3,1,0,65
75884,Operations,region_27,Masters & above,m,sourcing,1,42,5.0,6,0,0,59
28427,Analytics,region_7,Bachelors,m,sourcing,1,40,5.0,14,1,0,82
11945,Procurement,region_7,Bachelors,m,other,1,30,5.0,2,0,0,67
73141,Sales & Marketing,region_2,Bachelors,m,other,1,45,5.0,17,1,0,50
34696,Sales & Marketing,region_32,Bachelors,m,other,1,34,5.0,9,0,0,51
8112,Procurement,region_29,Bachelors,m,other,2,36,3.0,5,1,0,69
46147,Sales & Marketing,region_20,Bachelors,f,other,1,29,3.0,5,0,0,50
23149,Sales & Marketing,region_7,Masters & above,m,other,1,41,1.0,5,1,0,49
572,HR,region_2,Bachelors,m,sourcing,1,48,3.0,8,0,0,45
44715,Analytics,region_2,Bachelors,m,sourcing,1,29,,1,1,1,80
2061,Operations,region_2,Bachelors,f,other,2,43,3.0,5,1,0,60
39397,Sales & Marketing,region_4,Masters & above,m,other,2,35,4.0,5,0,0,59
60592,Operations,region_7,Masters & above,f,other,1,41,3.0,5,1,0,54
66698,Sales & Marketing,region_2,Bachelors,m,other,1,20,,1,0,0,48
45598,Legal,region_2,Bachelors,f,other,1,27,3.0,2,1,0,61
29571,Operations,region_15,Masters & above,m,other,1,46,5.0,14,1,0,57
72319,Operations,region_19,Bachelors,m,sourcing,2,42,4.0,10,0,0,58
38724,Analytics,region_2,Masters & above,m,sourcing,1,33,5.0,10,1,0,86
69235,Sales & Marketing,region_26,Bachelors,m,sourcing,1,41,3.0,12,1,0,46
49915,Technology,region_3,Bachelors,m,other,1,28,3.0,5,1,0,80
19854,Operations,region_2,Bachelors,f,sourcing,1,38,3.0,4,1,0,60
68676,Procurement,region_8,Masters & above,f,sourcing,1,39,3.0,3,0,0,70
26716,HR,region_11,Bachelors,m,other,1,29,3.0,3,1,0,46
11568,Sales & Marketing,region_11,Bachelors,m,sourcing,1,40,1.0,5,0,0,51
11504,Analytics,region_26,Bachelors,m,other,1,38,4.0,9,0,0,82
47949,Analytics,region_22,,m,other,2,26,4.0,3,1,0,83
8124,Operations,region_4,Bachelors,m,other,1,27,5.0,6,0,0,62
19739,Sales & Marketing,region_31,,m,other,2,30,3.0,7,0,0,46
45860,Technology,region_2,Bachelors,m,sourcing,1,43,1.0,10,0,0,84
51695,Finance,region_2,Below Secondary,f,other,1,23,4.0,2,0,0,58
59329,Legal,region_13,Bachelors,m,other,1,28,3.0,2,1,0,60
37132,Operations,region_2,Bachelors,m,sourcing,2,36,4.0,4,1,0,54
26037,Analytics,region_16,Bachelors,m,other,2,31,3.0,5,1,0,81
64674,Sales & Marketing,region_11,Masters & above,m,other,1,35,3.0,8,0,0,49
19216,Procurement,region_7,Below Secondary,m,sourcing,1,23,,1,0,0,71
52672,Operations,region_29,Masters & above,m,other,1,37,3.0,8,0,0,60
59697,Procurement,region_13,Bachelors,m,sourcing,1,50,3.0,16,0,0,69
67778,Technology,region_2,Bachelors,f,sourcing,1,27,,1,0,0,76
2971,Sales & Marketing,region_26,Bachelors,f,sourcing,1,30,,1,0,0,45
53066,Sales & Marketing,region_12,Bachelors,m,sourcing,1,40,1.0,6,0,0,50
76316,Operations,region_2,Masters & above,f,sourcing,1,60,3.0,31,0,0,57
44470,Technology,region_5,Bachelors,m,other,1,29,3.0,7,0,0,77
45979,HR,region_11,Bachelors,f,other,1,26,3.0,3,0,0,44
9958,Operations,region_23,Bachelors,m,sourcing,1,44,4.0,3,1,0,59
12692,Analytics,region_22,Bachelors,m,other,1,36,3.0,10,0,0,86
10370,Sales & Marketing,region_12,Bachelors,m,sourcing,1,30,5.0,6,1,0,48
66896,Procurement,region_2,Masters & above,f,other,1,42,4.0,7,1,0,70
19178,R&D,region_28,Masters & above,m,sourcing,1,38,4.0,9,0,0,85
26576,Legal,region_2,Bachelors,m,sourcing,2,39,4.0,5,0,0,60
40170,Analytics,region_11,Bachelors,m,other,2,26,5.0,3,0,0,82
58433,Technology,region_31,Bachelors,m,sourcing,1,28,1.0,2,0,0,80
75987,R&D,region_7,Bachelors,m,other,2,34,2.0,5,0,0,84
62303,Sales & Marketing,region_16,Bachelors,m,other,1,47,1.0,7,0,0,49
69989,Technology,region_16,Bachelors,f,sourcing,1,27,3.0,3,0,0,81
68638,Operations,region_19,Bachelors,f,other,1,34,4.0,5,0,0,59
73292,Sales & Marketing,region_7,Bachelors,f,sourcing,1,28,,1,0,0,51
